age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,label
56,Local_gov,Bachelors,married,Tech_support,Husband,White,Male,0,0,40,United_States,1
19,Private,HS_grad,not_married,Craft_repair,Own_child,White,Male,0,0,40,United_States,0
54,Private,Some_college,married,Prof_specialty,Husband,Asian_Pac_Islander,Male,0,0,60,Other,1
39,Private,HS_grad,divorced,Exec_managerial,Not_in_family,White,Male,0,0,80,United_States,0
49,Private,HS_grad,married,Craft_repair,Husband,White,Male,0,0,40,United_States,0
23,Local_gov,Voc,not_married,Protective_serv,Not_in_family,White,Male,0,0,52,United_States,0
20,Private,Some_college,not_married,Sales,Own_child,Black,Male,0,0,44,United_States,0
45,Private,Bachelors,divorced,Exec_managerial,Own_child,White,Male,0,1408,40,United_States,0
30,Federal_gov,Some_college,married,Adm_clerical,Own_child,White,Male,0,0,40,United_States,0
22,State_gov,Some_college,married,Other_service,Husband,Black,Male,0,0,15,United_States,0
48,Private,School,not_married,Machine_op_inspct,Unmarried,White,Male,0,0,40,Other,0
21,Private,Some_college,not_married,Machine_op_inspct,Own_child,White,Male,0,0,40,United_States,0
19,Private,HS_grad,married,Adm_clerical,Wife,White,Female,0,0,25,United_States,0
31,Private,Some_college,married,Sales,Husband,White,Male,0,0,38,United_States,1
48,Self_emp_not_inc,Voc,married,Prof_specialty,Husband,White,Male,0,0,40,United_States,0
31,Private,School,married,Machine_op_inspct,Husband,White,Male,0,0,43,United_States,0
53,Self_emp_not_inc,Bachelors,married,Prof_specialty,Husband,White,Male,0,0,40,United_States,0
24,Private,Bachelors,married,Tech_support,Husband,White,Male,0,0,50,United_States,0
49,Private,HS_grad,not_married,Adm_clerical,Unmarried,White,Female,0,0,40,United_States,0
25,Private,HS_grad,not_married,Handlers_cleaners,Not_in_family,White,Male,0,0,35,United_States,0
57,Federal_gov,Bachelors,married,Prof_specialty,Husband,Black,Male,0,0,40,United_States,1
53,Private,HS_grad,married,Machine_op_inspct,Husband,White,Male,0,0,38,United_States,0
44,Private,Masters,divorced,Exec_managerial,Unmarried,White,Female,0,0,40,United_States,0
41,State_gov,Voc,married,Craft_repair,Husband,White,Male,0,0,40,United_States,0
29,Private,Voc,not_married,Prof_specialty,Not_in_family,White,Male,0,0,43,United_States,0
25,Private,Some_college,married,Exec_managerial,Wife,Other,Female,0,0,40,United_States,0
18,Private,HS_grad,not_married,Other_service,Own_child,White,Female,0,0,30,United_States,0
47,Private,Prof_school,married,Prof_specialty,Wife,White,Female,0,1902,60,Other,1
50,Federal_gov,Bachelors,divorced,Exec_managerial,Not_in_family,White,Male,0,0,55,United_States,1
47,Self_emp_inc,HS_grad,divorced,Exec_managerial,Not_in_family,White,Male,0,0,60,United_States,0
43,Private,Some_college,married,Tech_support,Husband,White,Male,0,0,40,United_States,1
46,Private,School,married,Machine_op_inspct,Husband,White,Male,0,0,40,Other,0
35,Private,Voc,married,Other_service,Husband,White,Male,0,0,40,Other,0
41,Private,HS_grad,married,Adm_clerical,Husband,White,Male,0,0,48,United_States,0
30,Private,HS_grad,married,Machine_op_inspct,Husband,White,Male,5013,0,40,United_States,0
30,Private,Bachelors,married,Sales,Husband,White,Male,2407,0,40,United_States,0
32,Private,School,married,Prof_specialty,Not_in_family,White,Male,0,0,40,United_States,0
48,Private,HS_grad,married,Transport_moving,Husband,White,Male,0,0,40,United_States,0
42,Private,Doctorate,married,Prof_specialty,Husband,White,Male,0,0,45,United_States,1
29,Private,Some_college,divorced,Tech_support,Not_in_family,White,Male,0,0,58,United_States,0
36,Private,HS_grad,married,Craft_repair,Husband,White,Male,0,0,40,United_States,0
28,Private,Some_college,divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,0
53,Private,HS_grad,married,Adm_clerical,Wife,White,Female,0,0,40,United_States,1
49,Self_emp_inc,Some_college,married,Exec_managerial,Husband,White,Male,0,0,50,United_States,1
25,Private,Some_college,not_married,Prof_specialty,Own_child,White,Male,0,0,40,United_States,0
19,Private,Some_college,not_married,Prof_specialty,Own_child,White,Male,0,0,32,United_States,0
31,Private,Bachelors,not_married,Sales,Own_child,Black,Female,0,0,40,United_States,0
29,Self_emp_not_inc,Bachelors,married,Sales,Husband,White,Male,0,0,70,United_States,1
23,Private,Some_college,not_married,Machine_op_inspct,Not_in_family,White,Male,0,0,40,United_States,0
79,Private,Some_college,married,Prof_specialty,Other_relative,White,Male,0,0,20,United_States,0
27,Private,HS_grad,not_married,Other_service,Own_child,White,Male,0,0,40,Other,0
40,Private,Voc,married,Adm_clerical,Husband,White,Male,0,0,40,United_States,0
67,Private,School,married,Prof_specialty,Husband,White,Male,0,0,2,United_States,0
18,Private,School,not_married,Other_service,Own_child,White,Female,0,0,22,United_States,0
31,Local_gov,School,married,Farming_fishing,Husband,White,Male,0,0,40,United_States,0
18,Private,HS_grad,not_married,Sales,Not_in_family,White,Male,0,0,30,United_States,0
52,Private,Bachelors,married,Other_service,Husband,White,Male,0,0,40,Other,0
46,Private,HS_grad,married,Other_service,Wife,White,Female,0,0,40,United_States,0
59,Private,HS_grad,married,Sales,Husband,White,Male,0,0,48,United_States,0
44,Private,HS_grad,divorced,Craft_repair,Not_in_family,White,Female,14344,0,40,United_States,1
53,Private,HS_grad,divorced,Sales,Own_child,White,Female,0,0,35,United_States,0
49,Local_gov,HS_grad,married,Protective_serv,Husband,White,Male,0,0,40,United_States,1
33,Private,Masters,married,Prof_specialty,Husband,White,Male,0,0,50,United_States,0
30,Private,School,not_married,Sales,Not_in_family,White,Male,0,0,40,United_States,0
43,Federal_gov,Doctorate,not_married,Prof_specialty,Not_in_family,White,Female,0,0,50,United_States,1
57,Private,Voc,married,Prof_specialty,Husband,White,Male,0,0,40,United_States,0
37,Private,Some_college,divorced,Craft_repair,Unmarried,White,Female,0,0,40,United_States,0
28,Private,Some_college,divorced,Machine_op_inspct,Unmarried,Black,Female,0,0,25,United_States,0
30,Private,HS_grad,married,Sales,Wife,Asian_Pac_Islander,Female,0,1573,35,United_States,0
34,Local_gov,Bachelors,married,Protective_serv,Husband,White,Male,0,0,40,United_States,1
29,Local_gov,Some_college,not_married,Handlers_cleaners,Not_in_family,White,Male,0,0,50,United_States,0
48,Self_emp_not_inc,Doctorate,married,Prof_specialty,Husband,White,Male,0,1902,60,United_States,1
37,Private,Some_college,married,Sales,Husband,White,Male,0,0,48,United_States,1
48,Private,Voc,divorced,Exec_managerial,Unmarried,White,Female,0,0,40,Other,0
32,Federal_gov,HS_grad,not_married,Other_service,Own_child,Black,Male,0,0,40,United_States,0
76,Private,Masters,married,Exec_managerial,Husband,White,Male,0,0,40,United_States,1
44,Private,Bachelors,married,Exec_managerial,Husband,White,Male,15024,0,60,United_States,1
47,Self_emp_not_inc,Masters,not_married,Prof_specialty,Not_in_family,White,Female,0,0,50,United_States,0
20,Private,Some_college,not_married,Tech_support,Own_child,White,Female,0,0,40,United_States,0
29,Private,HS_grad,not_married,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,0
32,Self_emp_inc,HS_grad,married,Craft_repair,Husband,White,Male,7688,0,40,United_States,1
17,Private,School,not_married,Prof_specialty,Own_child,White,Female,34095,0,32,United_States,0
30,Private,School,not_married,Handlers_cleaners,Own_child,White,Male,0,0,40,United_States,0
31,Local_gov,HS_grad,not_married,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,0
42,Private,HS_grad,married,Handlers_cleaners,Husband,White,Male,0,0,40,United_States,0
24,Private,Bachelors,not_married,Sales,Other_relative,White,Male,0,0,40,United_States,0
38,Private,Prof_school,married,Prof_specialty,Husband,White,Male,0,0,40,United_States,1
56,Self_emp_not_inc,HS_grad,married,Other_service,Husband,White,Male,0,1887,50,Other,1
28,Private,Some_college,married,Sales,Wife,White,Female,4064,0,25,United_States,0
36,Private,HS_grad,not_married,Machine_op_inspct,Own_child,White,Female,0,0,40,United_States,0
53,Private,School,married,Handlers_cleaners,Husband,White,Male,0,0,50,United_States,0
56,Self_emp_inc,Some_college,married,Sales,Husband,White,Male,0,0,50,United_States,0
49,Local_gov,Voc,married,Craft_repair,Husband,Black,Male,0,0,40,United_States,1
55,Private,Some_college,married,Sales,Husband,White,Male,0,0,56,United_States,0
22,Private,HS_grad,not_married,Craft_repair,Not_in_family,White,Male,0,0,41,United_States,0
21,Private,Some_college,not_married,Other_service,Own_child,White,Female,0,0,40,United_States,0
40,Private,Bachelors,married,Exec_managerial,Husband,White,Male,0,0,60,United_States,0
30,Private,Bachelors,not_married,Exec_managerial,Own_child,Black,Male,0,0,40,Other,0
29,State_gov,Bachelors,married,Prof_specialty,Husband,White,Male,0,0,50,United_States,1
19,Private,Some_college,not_married,Other_service,Own_child,Black,Male,0,0,35,United_States,0
47,Private,Bachelors,married,Exec_managerial,Wife,White,Female,0,0,40,United_States,1
20,Private,Some_college,not_married,Adm_clerical,Own_child,White,Female,0,1719,28,United_States,0
31,Private,Voc,married,Adm_clerical,Husband,White,Male,0,0,40,United_States,1
35,Private,HS_grad,married,Prof_specialty,Husband,White,Male,0,0,40,United_States,0
39,Private,Some_college,divorced,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,0
28,Private,Voc,not_married,Sales,Not_in_family,White,Female,0,0,60,United_States,0
24,Private,HS_grad,not_married,Other_service,Not_in_family,White,Female,0,1762,40,United_States,0
38,Self_emp_not_inc,HS_grad,married,Craft_repair,Husband,White,Male,4386,0,35,United_States,0
37,Private,Bachelors,married,Sales,Husband,White,Male,0,0,50,United_States,0
46,Private,Voc,divorced,Tech_support,Not_in_family,Black,Female,0,0,36,United_States,0
38,Federal_gov,Masters,married,Prof_specialty,Husband,White,Male,0,0,40,Other,1
43,Self_emp_not_inc,HS_grad,married,Craft_repair,Husband,White,Male,0,0,60,United_States,0
27,Private,Voc,married,Adm_clerical,Wife,White,Female,0,0,35,United_States,0
20,Private,Some_college,not_married,Sales,Own_child,White,Male,0,0,20,United_States,0
49,Private,Some_college,married,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,40,United_States,1
61,Self_emp_inc,HS_grad,married,Craft_repair,Husband,White,Male,0,0,40,United_States,0
27,Private,Some_college,not_married,Sales,Own_child,White,Female,0,0,40,United_States,0
19,Private,Some_college,not_married,Other_service,Own_child,White,Male,0,0,30,Other,0
45,Private,Voc,not_married,Prof_specialty,Not_in_family,White,Female,0,1564,40,United_States,1
70,Private,Some_college,not_married,Tech_support,Other_relative,White,Male,0,0,40,United_States,0
31,Private,HS_grad,not_married,Transport_moving,Unmarried,Black,Female,0,0,30,United_States,0
22,Private,Some_college,married,Other_service,Husband,White,Male,0,0,24,United_States,0
36,Private,HS_grad,not_married,Other_service,Unmarried,White,Female,0,0,24,United_States,0
64,Private,School,married,Craft_repair,Husband,White,Male,0,2179,40,United_States,0
43,Private,Some_college,divorced,Prof_specialty,Not_in_family,White,Female,0,0,40,United_States,0
47,Local_gov,Some_college,divorced,Adm_clerical,Unmarried,White,Female,0,0,38,Other,0
34,Private,HS_grad,not_married,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,0
33,Private,Bachelors,not_married,Exec_managerial,Other_relative,Asian_Pac_Islander,Female,0,0,40,Other,0
21,Private,HS_grad,not_married,Craft_repair,Own_child,White,Male,0,0,35,United_States,0
52,Private,HS_grad,divorced,Prof_specialty,Not_in_family,White,Male,0,0,45,United_States,1
48,Private,HS_grad,married,Craft_repair,Husband,White,Male,0,0,46,United_States,0
23,Private,Bachelors,not_married,Handlers_cleaners,Not_in_family,White,Male,0,0,40,United_States,0
71,Self_emp_not_inc,Some_college,not_married,Sales,Unmarried,Black,Male,0,1816,2,United_States,0
29,Private,HS_grad,divorced,Craft_repair,Not_in_family,White,Male,0,0,60,United_States,0
42,Private,Bachelors,not_married,Other_service,Other_relative,Black,Male,0,0,50,United_States,0
68,Private,School,divorced,Prof_specialty,Not_in_family,White,Female,0,0,20,United_States,0
25,Private,HS_grad,not_married,Other_service,Unmarried,White,Female,0,0,40,United_States,0
44,Self_emp_inc,Masters,divorced,Exec_managerial,Unmarried,Asian_Pac_Islander,Female,0,0,40,United_States,0
28,Private,HS_grad,not_married,Exec_managerial,Not_in_family,Asian_Pac_Islander,Female,0,0,40,Other,0
45,Self_emp_not_inc,Masters,married,Sales,Husband,White,Male,0,0,40,United_States,1
36,Private,Some_college,divorced,Other_service,Unmarried,White,Female,0,0,40,Other,0
39,Federal_gov,Voc,not_married,Exec_managerial,Not_in_family,White,Male,0,0,42,United_States,0
46,State_gov,Masters,not_married,Protective_serv,Unmarried,White,Male,0,0,40,United_States,0
18,Private,School,not_married,Handlers_cleaners,Own_child,White,Male,0,0,16,United_States,0
66,Local_gov,Voc,not_married,Prof_specialty,Not_in_family,White,Female,0,0,20,United_States,0
27,Private,HS_grad,not_married,Other_service,Not_in_family,White,Male,0,1980,40,United_States,0
28,State_gov,HS_grad,married,Protective_serv,Husband,White,Male,0,0,40,United_States,0
51,Private,Some_college,married,Sales,Husband,White,Male,0,1977,40,United_States,1
27,Private,Bachelors,not_married,Craft_repair,Not_in_family,White,Male,0,0,50,United_States,0
28,State_gov,Bachelors,married,Prof_specialty,Husband,White,Male,0,0,40,United_States,1
27,Private,HS_grad,married,Sales,Unmarried,White,Female,0,0,25,United_States,0
21,Private,HS_grad,not_married,Craft_repair,Own_child,Black,Male,0,0,40,United_States,0
34,Private,HS_grad,not_married,Handlers_cleaners,Not_in_family,Black,Male,0,0,40,United_States,0
18,Private,HS_grad,not_married,Other_service,Own_child,White,Male,0,0,12,United_States,0
33,Private,Bachelors,married,Prof_specialty,Husband,White,Male,0,0,65,United_States,0
44,Local_gov,Some_college,married,Exec_managerial,Husband,Black,Male,0,0,38,United_States,1
43,Private,Some_college,divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,0
30,Private,Some_college,not_married,Craft_repair,Not_in_family,Black,Male,0,0,45,United_States,0
40,Private,School,married,Machine_op_inspct,Husband,White,Male,0,0,40,Other,1
37,Federal_gov,Some_college,married,Adm_clerical,Husband,White,Male,0,0,42,United_States,1
34,Private,HS_grad,married,Adm_clerical,Husband,Black,Male,0,0,40,United_States,0
41,Self_emp_not_inc,Bachelors,divorced,Exec_managerial,Not_in_family,White,Female,0,0,40,United_States,0
53,Private,Bachelors,divorced,Prof_specialty,Not_in_family,White,Female,0,0,50,United_States,0
31,Private,Masters,married,Prof_specialty,Wife,White,Female,0,0,50,United_States,0
58,State_gov,Doctorate,married,Prof_specialty,Husband,White,Male,0,0,1,United_States,1
38,Private,Some_college,divorced,Machine_op_inspct,Not_in_family,Black,Female,0,0,28,United_States,0
24,Private,Some_college,married,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,0
41,Local_gov,Bachelors,married,Craft_repair,Husband,Black,Male,0,0,40,United_States,0
47,Private,Some_college,married,Tech_support,Husband,White,Male,0,0,45,United_States,0
41,Federal_gov,Bachelors,married,Tech_support,Husband,White,Male,0,0,24,United_States,0
23,Private,School,married,Transport_moving,Other_relative,White,Male,0,0,40,Other,0
36,Private,Some_college,divorced,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,0
40,Federal_gov,Masters,not_married,Exec_managerial,Not_in_family,White,Female,14084,0,55,United_States,1
35,Private,Masters,married,Prof_specialty,Other_relative,White,Male,7298,0,40,United_States,1
24,Self_emp_not_inc,HS_grad,not_married,Sales,Not_in_family,White,Male,0,0,40,United_States,0
26,Private,Masters,not_married,Prof_specialty,Not_in_family,White,Female,0,1876,40,United_States,0
19,Private,HS_grad,not_married,Prof_specialty,Own_child,White,Male,0,0,40,Other,0
51,Private,Bachelors,married,Exec_managerial,Husband,White,Male,0,0,50,United_States,1
42,Local_gov,Some_college,not_married,Prof_specialty,Not_in_family,White,Female,0,1340,40,United_States,0
37,State_gov,HS_grad,divorced,Adm_clerical,Unmarried,White,Female,0,0,35,United_States,0
18,Private,School,not_married,Sales,Own_child,White,Female,0,0,40,United_States,0
36,Private,Bachelors,married,Other_service,Husband,Black,Male,7298,0,36,United_States,1
35,Private,HS_grad,divorced,Craft_repair,Not_in_family,White,Male,0,0,60,United_States,0
58,Self_emp_inc,HS_grad,married,Sales,Wife,White,Female,15024,0,35,United_States,1
17,Private,School,not_married,Sales,Own_child,White,Female,0,0,12,United_States,0
44,Local_gov,HS_grad,married,Transport_moving,Husband,Black,Male,0,0,40,United_States,0
37,Private,HS_grad,married,Craft_repair,Husband,White,Male,0,0,40,United_States,1
35,Private,Some_college,not_married,Sales,Not_in_family,Amer_Indian_Eskimo,Female,0,0,40,United_States,0
60,Private,HS_grad,married,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,40,United_States,0
54,Self_emp_inc,School,married,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,1
37,Private,Bachelors,not_married,Exec_managerial,Not_in_family,Black,Male,0,0,60,United_States,1
50,Private,Voc,divorced,Sales,Not_in_family,White,Female,0,0,40,United_States,0
38,Private,Bachelors,married,Sales,Husband,White,Male,0,0,50,Other,0
45,Private,Bachelors,married,Prof_specialty,Husband,White,Male,0,0,55,United_States,0
25,Private,School,not_married,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,0
31,Private,Some_college,married,Handlers_cleaners,Husband,White,Male,0,0,40,United_States,0
64,Private,School,divorced,Prof_specialty,Not_in_family,White,Male,0,0,40,United_States,0
90,Private,HS_grad,not_married,Other_service,Not_in_family,Black,Male,0,2206,40,United_States,0
54,Private,HS_grad,married,Adm_clerical,Husband,Black,Male,0,0,20,United_States,0
53,Local_gov,School,not_married,Machine_op_inspct,Not_in_family,White,Female,0,0,35,United_States,0
18,Private,HS_grad,not_married,Sales,Own_child,White,Female,0,0,40,United_States,0
60,Private,School,divorced,Prof_specialty,Not_in_family,Amer_Indian_Eskimo,Female,0,0,10,United_States,0
66,Self_emp_not_inc,HS_grad,married,Farming_fishing,Husband,White,Male,1409,0,50,United_States,0
75,Private,Voc,not_married,Adm_clerical,Not_in_family,White,Female,0,0,20,Other,0
65,Private,HS_grad,divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,0
35,Private,School,not_married,Transport_moving,Not_in_family,Black,Male,3674,0,40,United_States,0
41,Private,HS_grad,divorced,Sales,Unmarried,Black,Female,0,0,38,United_States,0
25,Private,Some_college,not_married,Adm_clerical,Not_in_family,White,Male,0,0,42,United_States,0
33,Private,Some_college,divorced,Craft_repair,Other_relative,Other,Female,0,0,40,United_States,0
28,Private,Prof_school,not_married,Prof_specialty,Not_in_family,White,Male,0,0,55,United_States,1
59,State_gov,HS_grad,married,Other_service,Husband,White,Male,0,0,40,United_States,0
40,State_gov,Some_college,not_married,Adm_clerical,Not_in_family,White,Female,0,0,38,United_States,0
41,Private,Bachelors,married,Exec_managerial,Husband,White,Male,0,0,50,Other,1
38,Local_gov,Masters,married,Exec_managerial,Husband,White,Male,0,0,70,United_States,1
23,Private,HS_grad,not_married,Transport_moving,Own_child,White,Male,0,0,40,United_States,0
40,Private,Bachelors,married,Prof_specialty,Husband,White,Male,0,0,40,United_States,1
41,Self_emp_not_inc,HS_grad,married,Other_service,Wife,White,Female,0,0,20,United_States,0
24,State_gov,Voc,married,Protective_serv,Husband,White,Male,0,0,50,United_States,0
20,Private,Some_college,not_married,Prof_specialty,Own_child,White,Male,0,0,20,United_States,0
38,Private,Some_college,divorced,Craft_repair,Not_in_family,White,Male,0,1741,40,United_States,0
56,Private,HS_grad,married,Adm_clerical,Husband,White,Male,0,0,35,United_States,0
58,Private,HS_grad,married,Adm_clerical,Husband,White,Male,0,0,45,United_States,1
32,Private,HS_grad,not_married,Other_service,Not_in_family,White,Female,0,0,34,United_States,0
40,Private,Voc,married,Tech_support,Husband,White,Male,0,1977,60,United_States,1
45,Private,HS_grad,married,Adm_clerical,Husband,White,Male,0,0,40,United_States,0
41,Private,Prof_school,married,Prof_specialty,Wife,White,Female,0,0,40,United_States,1
42,Private,Bachelors,married,Adm_clerical,Wife,Black,Female,0,0,40,United_States,0
59,Local_gov,School,not_married,Other_service,Unmarried,Black,Female,0,0,30,United_States,0
19,Local_gov,Some_college,not_married,Adm_clerical,Own_child,White,Male,0,0,40,United_States,0
58,Private,Some_college,not_married,Transport_moving,Not_in_family,White,Male,0,0,20,United_States,0
42,Self_emp_not_inc,HS_grad,married,Farming_fishing,Husband,Asian_Pac_Islander,Male,0,0,40,Other,1
20,Private,HS_grad,not_married,Other_service,Own_child,White,Female,0,0,40,United_States,0
32,Private,HS_grad,not_married,Other_service,Not_in_family,White,Female,0,0,30,United_States,0
45,Private,Voc,not_married,Exec_managerial,Not_in_family,White,Female,0,0,45,United_States,0
50,Private,School,divorced,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,0
36,Private,Bachelors,divorced,Prof_specialty,Own_child,White,Female,0,0,40,United_States,0
45,Private,HS_grad,married,Sales,Husband,White,Male,0,0,60,United_States,0
17,Private,School,not_married,Other_service,Own_child,White,Male,0,0,12,United_States,0
59,Private,Some_college,married,Sales,Husband,White,Male,4064,0,40,United_States,0
26,Private,School,married,Craft_repair,Husband,White,Male,0,0,40,United_States,0
37,Self_emp_inc,Some_college,married,Exec_managerial,Husband,Asian_Pac_Islander,Male,0,0,75,Other,1
19,Private,Some_college,not_married,Prof_specialty,Own_child,White,Male,0,0,24,Other,0
64,Private,HS_grad,married,Exec_managerial,Husband,White,Male,0,0,40,United_States,1
33,Private,Bachelors,not_married,Prof_specialty,Not_in_family,White,Female,0,0,45,United_States,0
33,Private,HS_grad,married,Craft_repair,Wife,White,Female,0,0,40,United_States,1
61,Private,HS_grad,married,Exec_managerial,Husband,White,Male,0,0,40,United_States,1
17,Private,School,not_married,Other_service,Own_child,White,Male,1055,0,24,United_States,0
50,Self_emp_not_inc,Masters,married,Farming_fishing,Husband,White,Male,2407,0,98,United_States,0
27,Local_gov,Masters,not_married,Prof_specialty,Own_child,White,Male,0,0,35,United_States,0
30,Private,HS_grad,divorced,Prof_specialty,Own_child,White,Female,0,0,40,United_States,0
43,Private,HS_grad,married,Handlers_cleaners,Husband,Black,Male,0,0,40,United_States,0
44,Private,Some_college,married,Craft_repair,Husband,White,Male,7298,0,40,United_States,1
35,Private,Some_college,not_married,Exec_managerial,Not_in_family,White,Female,0,0,40,United_States,0
25,Private,Some_college,not_married,Tech_support,Own_child,White,Female,0,0,40,United_States,0
24,Private,Some_college,married,Machine_op_inspct,Wife,White,Female,7298,0,48,United_States,1
22,Private,Bachelors,not_married,Prof_specialty,Not_in_family,White,Female,0,0,15,Other,0
42,Local_gov,Some_college,married,Craft_repair,Husband,White,Male,5178,0,40,United_States,1
34,Private,Voc,divorced,Sales,Unmarried,Black,Female,0,0,45,United_States,0
60,Private,Bachelors,divorced,Prof_specialty,Not_in_family,White,Female,0,0,42,United_States,0
21,Private,HS_grad,not_married,Handlers_cleaners,Own_child,White,Male,0,0,40,United_States,0
57,Federal_gov,Masters,married,Sales,Husband,White,Male,15024,0,40,United_States,1
41,Private,Prof_school,married,Prof_specialty,Husband,White,Male,0,0,60,United_States,1
50,Private,Some_college,divorced,Other_service,Not_in_family,White,Male,0,0,45,United_States,0
25,Private,Bachelors,not_married,Exec_managerial,Not_in_family,White,Female,0,0,40,United_States,0
50,Private,School,married,Craft_repair,Husband,White,Male,0,0,40,Other,0
36,Private,Bachelors,married,Prof_specialty,Husband,White,Male,0,0,45,United_States,0
31,Private,HS_grad,divorced,Prof_specialty,Not_in_family,White,Female,0,0,40,United_States,0
29,Local_gov,Bachelors,not_married,Protective_serv,Not_in_family,White,Male,0,0,56,United_States,0
21,Private,Some_college,not_married,Sales,Own_child,White,Male,0,0,45,United_States,0
27,Private,Bachelors,not_married,Tech_support,Unmarried,Black,Female,0,0,40,United_States,0
65,Private,HS_grad,married,Transport_moving,Husband,White,Male,0,0,16,United_States,0
37,Self_emp_inc,Bachelors,divorced,Sales,Not_in_family,White,Female,0,0,60,United_States,0
39,Private,Masters,married,Prof_specialty,Wife,Asian_Pac_Islander,Female,3464,0,40,United_States,0
24,Private,HS_grad,not_married,Craft_repair,Own_child,White,Male,0,0,40,United_States,0
38,Private,HS_grad,divorced,Sales,Not_in_family,White,Male,0,0,80,United_States,0
48,Private,Bachelors,married,Adm_clerical,Husband,White,Male,7688,0,40,United_States,1
21,Private,Some_college,not_married,Other_service,Not_in_family,Asian_Pac_Islander,Female,0,0,25,United_States,0
31,Private,HS_grad,married,Transport_moving,Husband,White,Male,0,0,45,United_States,1
55,Private,HS_grad,married,Sales,Husband,White,Male,4386,0,40,United_States,1
24,Private,Some_college,married,Adm_clerical,Wife,Asian_Pac_Islander,Female,0,0,40,Other,0
43,Private,HS_grad,divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,0
26,Private,Voc,not_married,Tech_support,Not_in_family,White,Male,0,0,45,United_States,0
46,Private,Voc,not_married,Prof_specialty,Not_in_family,White,Female,0,0,33,United_States,0
35,Private,Voc,married,Adm_clerical,Husband,White,Male,0,0,40,United_States,1
41,Self_emp_inc,Some_college,married,Farming_fishing,Husband,White,Male,0,0,54,United_States,1
26,Private,Bachelors,not_married,Sales,Not_in_family,White,Male,0,0,40,United_States,0
34,Private,Masters,married,Exec_managerial,Husband,Asian_Pac_Islander,Male,7298,0,35,Other,1
19,Private,Some_college,not_married,Prof_specialty,Own_child,Black,Female,0,0,25,United_States,0
36,Self_emp_not_inc,Bachelors,divorced,Prof_specialty,Not_in_family,Black,Female,0,0,40,United_States,1
22,Private,Some_college,not_married,Sales,Own_child,White,Male,0,0,15,United_States,0
