c_charge_degree,race,age,sex,priors_count,days_b_screening_arrest,label
F,Hispanic,23,Female,2,-2.0,1
M,Native American,27,Male,3,0.0,0
M,Caucasian,37,Female,0,0.0,0
M,African_American,28,Female,0,0.0,0
F,African_American,21,Male,0,-1.0,0
F,Hispanic,50,Female,1,18.0,1
F,African_American,27,Male,0,-1.0,0
F,African_American,25,Female,5,-1.0,1
F,Caucasian,38,Male,5,-2.0,1
F,Caucasian,26,Female,1,-1.0,1
F,Caucasian,37,Male,0,-1.0,0
M,African_American,23,Female,0,-1.0,0
F,African_American,27,Male,3,-1.0,1
F,Caucasian,37,Male,2,-1.0,0
F,African_American,53,Male,4,-4.0,0
F,African_American,26,Male,5,-1.0,1
F,African_American,28,Male,5,-1.0,1
F,African_American,27,Male,11,-1.0,1
M,African_American,30,Male,0,-1.0,1
F,African_American,21,Male,2,-1.0,1
F,Caucasian,51,Male,3,-1.0,0
F,African_American,36,Male,1,-1.0,1
F,Caucasian,38,Male,0,0.0,0
M,Caucasian,34,Male,0,-1.0,0
F,Hispanic,25,Male,1,-1.0,0
M,Caucasian,27,Female,0,0.0,1
M,African_American,20,Male,1,-1.0,1
M,Caucasian,23,Male,0,-2.0,0
F,Caucasian,55,Male,13,-1.0,1
M,African_American,25,Male,0,-1.0,0
F,Caucasian,27,Male,0,0.0,0
F,Caucasian,61,Female,15,-10.0,0
F,African_American,37,Male,0,-1.0,1
F,Caucasian,42,Male,2,-1.0,1
F,African_American,24,Female,0,-1.0,0
F,Other,33,Male,0,-1.0,0
M,Other,39,Male,0,-1.0,0
M,African_American,25,Male,0,0.0,1
F,African_American,27,Female,1,-1.0,0
F,African_American,25,Male,2,-1.0,0
M,Hispanic,23,Female,2,-1.0,0
M,African_American,21,Male,0,0.0,1
F,African_American,24,Male,0,0.0,1
M,African_American,27,Male,1,-1.0,0
F,Caucasian,51,Male,6,0.0,1
F,African_American,22,Female,0,-2.0,0
F,African_American,53,Male,3,-1.0,1
F,African_American,25,Male,0,-1.0,0
M,Hispanic,69,Male,0,-1.0,0
F,Caucasian,23,Male,0,0.0,0
F,Caucasian,27,Male,1,-1.0,0
M,African_American,29,Male,0,-1.0,0
F,African_American,32,Male,1,-1.0,0
F,African_American,48,Male,2,0.0,1
F,Caucasian,30,Male,1,-1.0,1
M,Caucasian,26,Female,1,-1.0,0
M,Caucasian,44,Male,0,-1.0,0
F,African_American,46,Male,5,0.0,1
F,Other,39,Male,4,-30.0,1
M,Caucasian,78,Male,1,-1.0,1
F,Hispanic,41,Male,0,-3.0,1
F,African_American,34,Male,9,-1.0,1
M,African_American,22,Male,0,-1.0,1
F,African_American,29,Male,7,0.0,0
F,African_American,30,Female,2,-1.0,0
F,Caucasian,46,Male,1,-1.0,0
M,Hispanic,35,Female,0,0.0,0
M,Caucasian,55,Female,0,-3.0,0
F,African_American,50,Male,0,0.0,0
M,African_American,38,Male,1,-1.0,0
M,African_American,26,Male,0,-1.0,1
F,African_American,57,Male,28,0.0,1
M,African_American,24,Female,0,-1.0,0
M,African_American,24,Female,11,-1.0,1
F,Caucasian,49,Male,3,-1.0,1
M,Caucasian,33,Male,3,0.0,0
F,Caucasian,43,Male,1,-1.0,0
M,African_American,54,Male,4,-1.0,1
F,Other,29,Male,2,-1.0,1
F,Caucasian,56,Male,7,-1.0,1
F,Other,33,Male,4,0.0,1
F,African_American,25,Female,0,-1.0,1
M,Caucasian,53,Male,0,-1.0,1
F,African_American,38,Male,2,0.0,1
F,Caucasian,25,Male,2,0.0,0
F,Other,38,Male,0,-1.0,1
F,African_American,36,Female,1,-1.0,1
M,African_American,20,Male,0,-1.0,1
M,Caucasian,54,Male,3,-1.0,1
M,Caucasian,39,Female,1,-1.0,1
F,Hispanic,63,Male,1,-26.0,0
M,African_American,30,Female,0,0.0,0
F,African_American,28,Male,10,0.0,0
F,Caucasian,35,Male,6,-10.0,1
M,Caucasian,32,Male,2,-1.0,1
F,Caucasian,56,Female,3,-1.0,0
M,Caucasian,37,Male,1,-1.0,0
F,Hispanic,28,Male,0,-1.0,0
F,African_American,31,Male,2,-1.0,0
M,Caucasian,69,Male,0,-7.0,1
F,African_American,34,Male,1,0.0,0
F,Other,22,Male,0,-1.0,0
M,Caucasian,40,Male,0,-1.0,0
M,Hispanic,45,Male,0,-1.0,1
F,Hispanic,36,Male,1,30.0,1
F,Other,33,Male,0,-1.0,1
M,African_American,43,Female,9,-1.0,0
M,Caucasian,66,Male,0,-1.0,0
M,African_American,28,Male,5,0.0,1
F,Caucasian,20,Male,0,-3.0,0
M,Caucasian,47,Female,0,-3.0,0
M,Caucasian,31,Male,7,-1.0,0
F,Caucasian,50,Male,9,-1.0,1
F,Caucasian,23,Male,2,-1.0,1
M,African_American,36,Male,2,-1.0,1
M,Other,32,Male,0,-1.0,0
F,African_American,31,Male,6,-1.0,1
F,Other,30,Male,0,-1.0,0
F,African_American,45,Male,15,-1.0,1
F,African_American,61,Male,11,-1.0,0
M,African_American,26,Female,1,-1.0,0
F,Caucasian,35,Female,4,-30.0,0
F,Other,27,Male,0,-1.0,1
F,African_American,22,Female,1,-28.0,0
M,Caucasian,43,Male,4,0.0,0
F,African_American,43,Male,0,-1.0,1
M,Caucasian,28,Male,6,0.0,1
M,Caucasian,38,Male,2,-1.0,0
F,African_American,26,Male,10,-1.0,1
M,Hispanic,23,Male,0,-1.0,0
F,Caucasian,38,Female,5,-1.0,1
F,Caucasian,41,Male,14,-1.0,1
F,African_American,23,Male,2,-1.0,1
M,African_American,30,Male,1,-1.0,0
M,Caucasian,47,Male,0,-1.0,0
F,African_American,33,Female,5,-1.0,1
M,African_American,31,Male,15,-1.0,1
M,African_American,26,Male,1,-1.0,1
F,African_American,33,Male,4,0.0,0
M,African_American,27,Male,0,-1.0,0
M,Caucasian,32,Male,9,0.0,1
F,African_American,29,Male,7,-1.0,0
F,African_American,24,Male,0,0.0,0
M,African_American,59,Female,0,-1.0,0
M,African_American,28,Male,1,-1.0,0
F,African_American,45,Male,0,-1.0,1
F,African_American,61,Male,25,-1.0,0
F,African_American,29,Male,1,-1.0,0
F,African_American,27,Male,13,-1.0,1
F,African_American,22,Male,8,-1.0,1
F,African_American,21,Male,2,-1.0,1
F,Hispanic,21,Male,2,-1.0,1
F,African_American,35,Male,7,-1.0,0
F,Caucasian,35,Male,3,0.0,0
F,African_American,33,Male,3,-1.0,1
F,Caucasian,33,Male,2,-14.0,0
F,African_American,31,Female,14,-1.0,0
F,African_American,22,Male,6,-1.0,1
F,Hispanic,36,Male,5,-2.0,0
M,Caucasian,46,Male,0,0.0,0
M,Caucasian,49,Male,0,0.0,0
F,African_American,36,Male,13,-1.0,1
M,African_American,29,Female,9,-1.0,1
F,Hispanic,31,Male,0,-1.0,0
M,Caucasian,56,Male,4,-1.0,0
F,African_American,28,Male,4,0.0,0
F,Caucasian,52,Male,1,-1.0,0
F,African_American,22,Male,0,-1.0,1
M,African_American,31,Male,5,0.0,0
F,African_American,53,Male,20,-3.0,0
M,African_American,25,Male,8,-1.0,1
F,African_American,26,Male,4,0.0,1
F,African_American,26,Male,1,-1.0,1
M,Caucasian,74,Male,0,0.0,0
F,Hispanic,22,Male,1,-1.0,0
M,African_American,41,Female,0,0.0,0
M,Caucasian,73,Male,0,-1.0,0
F,African_American,41,Male,19,0.0,0
F,Hispanic,28,Male,1,-9.0,0
F,African_American,22,Male,3,0.0,1
F,Caucasian,40,Male,9,-1.0,0
F,African_American,50,Female,3,0.0,0
M,Hispanic,52,Male,2,-1.0,0
F,Hispanic,55,Male,0,-1.0,0
M,African_American,27,Male,8,0.0,0
M,African_American,21,Male,0,-1.0,0
M,African_American,27,Male,1,-1.0,0
F,African_American,33,Male,2,-1.0,0
M,Other,33,Male,0,-1.0,0
M,African_American,25,Male,5,-1.0,0
F,Caucasian,29,Male,0,0.0,1
F,Caucasian,20,Male,0,-1.0,1
F,Other,28,Female,0,-1.0,0
M,African_American,27,Male,13,-1.0,1
F,Caucasian,26,Male,2,-1.0,0
F,African_American,28,Male,13,-1.0,1
F,Caucasian,54,Male,3,-1.0,1
F,Hispanic,24,Male,1,-6.0,0
F,African_American,45,Male,11,-1.0,0
M,Caucasian,38,Male,0,-1.0,0
M,African_American,51,Male,1,-1.0,1
M,Caucasian,29,Male,1,-1.0,0
F,Caucasian,26,Male,0,-1.0,1
M,Hispanic,57,Male,1,-15.0,0
F,African_American,26,Female,5,-1.0,1
M,African_American,28,Male,0,-2.0,0
F,African_American,34,Male,0,-1.0,1
F,Caucasian,43,Male,2,-10.0,0
M,African_American,23,Female,0,0.0,0
M,Caucasian,35,Male,2,0.0,0
M,Other,56,Male,0,0.0,0
M,Hispanic,52,Male,0,-1.0,1
F,Hispanic,37,Female,1,-1.0,0
M,African_American,22,Male,0,-4.0,1
M,Caucasian,21,Male,3,-8.0,0
M,African_American,29,Male,8,0.0,1
M,African_American,29,Male,0,0.0,0
F,African_American,62,Male,13,-1.0,1
F,African_American,24,Male,1,-1.0,1
F,Caucasian,26,Female,0,-1.0,0
F,African_American,28,Male,16,-1.0,1
M,Caucasian,37,Male,3,-1.0,0
F,African_American,47,Male,5,-1.0,0
M,African_American,53,Male,18,-1.0,1
M,Caucasian,21,Male,0,-1.0,1
M,African_American,55,Male,0,-1.0,1
F,Caucasian,24,Male,0,-1.0,0
F,Hispanic,31,Male,0,0.0,1
M,African_American,36,Female,1,-1.0,0
F,African_American,23,Male,0,-1.0,1
F,Caucasian,24,Male,0,0.0,0
M,African_American,26,Male,4,-1.0,1
M,African_American,57,Male,2,-1.0,0
F,Caucasian,39,Male,0,-1.0,0
F,African_American,32,Male,10,-1.0,1
F,African_American,21,Male,0,-1.0,1
M,Caucasian,26,Male,5,0.0,0
F,Caucasian,23,Female,0,-1.0,1
F,Caucasian,40,Male,5,7.0,1
M,African_American,36,Male,5,-20.0,1
M,Caucasian,27,Male,0,0.0,0
M,Hispanic,27,Female,0,0.0,0
F,Caucasian,26,Male,10,7.0,1
F,Caucasian,33,Male,9,-1.0,1
F,Hispanic,33,Male,11,0.0,1
F,African_American,30,Male,2,-1.0,1
F,Caucasian,26,Male,0,-1.0,0
M,Hispanic,20,Male,0,-2.0,1
F,Other,24,Male,9,-1.0,1
F,African_American,37,Male,23,-1.0,1
F,African_American,32,Female,6,-1.0,1
M,Caucasian,28,Female,1,-1.0,0
F,African_American,24,Male,3,0.0,1
M,Caucasian,25,Male,0,-1.0,0
M,Caucasian,45,Female,1,-11.0,0
F,African_American,31,Male,3,0.0,1
F,Caucasian,26,Male,1,0.0,1
F,African_American,22,Male,0,0.0,0
F,African_American,53,Female,3,-1.0,0
F,African_American,21,Male,1,0.0,1
F,Hispanic,21,Male,0,-1.0,0
F,Caucasian,23,Male,3,-1.0,1
M,African_American,31,Male,25,-1.0,1
M,African_American,28,Male,4,-1.0,1
M,African_American,32,Male,2,0.0,0
F,African_American,38,Female,7,0.0,1
F,African_American,21,Male,8,30.0,1
F,African_American,28,Female,0,-1.0,0
F,African_American,25,Male,7,0.0,1
F,African_American,23,Female,2,16.0,1
F,African_American,31,Male,10,-1.0,1
M,African_American,34,Male,4,0.0,0
M,Hispanic,56,Female,2,-1.0,1
F,Caucasian,30,Male,2,-1.0,0
F,African_American,21,Male,3,-1.0,1
M,Caucasian,33,Male,2,-23.0,0
M,African_American,29,Male,3,-1.0,1
M,Caucasian,22,Female,0,0.0,0
F,African_American,28,Female,3,-16.0,0
F,African_American,21,Male,1,-1.0,1
M,Caucasian,31,Female,0,-3.0,0
M,African_American,20,Male,0,-1.0,1
M,African_American,24,Male,0,-1.0,0
F,Hispanic,22,Female,0,0.0,0
M,Other,28,Male,2,-1.0,0
M,Caucasian,35,Male,0,-1.0,0
F,Caucasian,34,Male,2,-1.0,1
M,African_American,23,Male,0,-1.0,0
F,Other,39,Male,0,-1.0,0
M,African_American,24,Male,1,-1.0,1
F,African_American,30,Male,6,-1.0,1
F,Caucasian,57,Male,6,-23.0,0
F,African_American,24,Male,0,-1.0,0
F,African_American,33,Male,0,-4.0,1
F,African_American,41,Male,14,0.0,1
F,African_American,21,Male,1,-1.0,0
F,African_American,24,Female,1,-23.0,0
F,African_American,23,Female,0,-1.0,0
F,Caucasian,26,Male,2,0.0,0
M,African_American,38,Female,0,0.0,0
F,Caucasian,28,Male,2,0.0,0
F,Other,52,Male,13,-1.0,1
M,Hispanic,21,Male,0,0.0,0
F,African_American,30,Male,5,-1.0,1
F,Hispanic,31,Male,3,-1.0,0
F,African_American,38,Male,1,-8.0,1
F,African_American,30,Female,4,-1.0,0
F,African_American,37,Male,2,-1.0,1
M,Caucasian,30,Female,0,0.0,0
M,Caucasian,28,Female,6,-1.0,1
F,African_American,29,Male,2,-1.0,0
M,Caucasian,55,Female,0,-1.0,0
M,African_American,28,Female,0,-1.0,0
F,Caucasian,34,Female,10,22.0,1
M,Caucasian,44,Male,2,0.0,1
F,Other,20,Male,0,-1.0,1
F,Caucasian,31,Female,2,-1.0,1
F,African_American,31,Female,10,-1.0,0
F,Caucasian,21,Female,0,-2.0,0
M,African_American,57,Male,27,-9.0,0
F,Caucasian,37,Male,0,-1.0,0
F,Hispanic,41,Female,0,-1.0,0
M,African_American,22,Male,0,-1.0,1
F,Caucasian,27,Male,2,-1.0,1
F,African_American,57,Male,0,-1.0,1
M,African_American,30,Female,7,-1.0,1
F,Caucasian,30,Female,3,0.0,1
M,Hispanic,32,Female,1,-11.0,0
M,Hispanic,47,Male,0,-1.0,0
F,Caucasian,51,Male,7,-1.0,1
M,Hispanic,25,Male,6,-1.0,1
M,African_American,24,Male,2,-1.0,1
F,African_American,42,Male,0,-1.0,0
M,African_American,29,Male,1,-1.0,1
M,African_American,38,Male,0,0.0,0
M,African_American,24,Male,0,-1.0,0
M,Hispanic,58,Male,1,-2.0,0
F,Caucasian,23,Male,10,-1.0,0
F,Hispanic,27,Male,1,0.0,0
F,African_American,21,Male,1,-1.0,0
F,African_American,25,Male,0,-1.0,0
M,Other,37,Female,0,-1.0,0
M,Other,34,Male,1,0.0,1
F,African_American,49,Male,1,-1.0,0
F,African_American,21,Male,0,-1.0,0
F,Caucasian,39,Female,8,-1.0,1
M,Caucasian,43,Female,0,-1.0,0
M,African_American,26,Male,1,-1.0,0
M,Caucasian,51,Male,1,-1.0,0
M,African_American,26,Male,0,-1.0,1
F,Caucasian,38,Male,10,-1.0,1
M,African_American,23,Male,0,0.0,0
F,African_American,51,Male,0,0.0,1
M,Other,24,Male,3,-1.0,1
M,Hispanic,37,Male,3,-1.0,1
M,Caucasian,49,Female,4,-1.0,0
F,African_American,22,Male,2,-22.0,1
M,African_American,29,Male,1,0.0,1
F,African_American,23,Male,4,-1.0,1
M,Hispanic,31,Male,1,-1.0,0
F,Caucasian,34,Female,0,-2.0,1
F,African_American,38,Male,0,0.0,0
F,African_American,23,Male,3,-1.0,1
F,Caucasian,40,Male,4,0.0,0
F,African_American,30,Female,11,0.0,1
F,African_American,23,Male,0,-1.0,0
F,Caucasian,34,Male,0,0.0,0
F,African_American,28,Female,1,-1.0,0
F,Caucasian,43,Male,9,-2.0,0
F,Hispanic,35,Male,0,-1.0,1
F,African_American,33,Male,18,-1.0,1
M,African_American,64,Male,0,-1.0,0
F,African_American,53,Male,15,-1.0,1
F,African_American,19,Male,2,-1.0,1
F,African_American,30,Female,10,0.0,1
F,Caucasian,46,Male,4,0.0,0
M,African_American,30,Male,3,-1.0,1
F,Other,20,Male,0,-2.0,0
F,African_American,33,Male,0,0.0,1
F,Caucasian,42,Male,3,0.0,0
F,African_American,50,Female,4,-1.0,0
M,African_American,49,Male,6,-1.0,1
M,African_American,31,Male,0,0.0,0
F,African_American,21,Male,4,-1.0,0
F,African_American,43,Male,2,0.0,0
M,Hispanic,21,Female,0,-1.0,1
F,Caucasian,37,Male,0,-1.0,0
M,African_American,25,Male,0,-1.0,0
F,Hispanic,25,Male,4,0.0,0
F,Caucasian,26,Male,4,-1.0,1
F,African_American,40,Male,3,-1.0,0
M,African_American,61,Male,14,-1.0,0
F,Other,51,Male,0,-1.0,1
F,Hispanic,38,Male,3,23.0,1
F,African_American,41,Male,0,-1.0,0
M,African_American,37,Male,12,-1.0,1
F,African_American,21,Male,3,-1.0,1
M,African_American,23,Male,1,-1.0,0
F,African_American,20,Female,0,-1.0,0
F,African_American,24,Male,0,0.0,0
F,Other,38,Male,1,-1.0,0
F,Caucasian,24,Male,0,0.0,0
M,Other,53,Male,4,-1.0,1
F,Other,25,Male,0,-1.0,1
F,Hispanic,35,Male,13,-1.0,0
F,Caucasian,48,Male,6,-26.0,0
F,African_American,34,Male,0,-3.0,0
F,Caucasian,33,Male,0,-1.0,1
F,African_American,39,Female,1,7.0,0
F,Caucasian,26,Male,8,-1.0,1
F,Caucasian,26,Male,2,0.0,1
F,African_American,23,Female,1,-1.0,0
M,African_American,34,Male,27,-1.0,0
F,African_American,29,Male,0,-1.0,0
M,Hispanic,23,Male,0,-1.0,1
M,African_American,24,Male,0,-1.0,0
M,Caucasian,28,Male,0,-1.0,0
F,Hispanic,21,Male,1,-8.0,0
F,African_American,32,Male,0,-1.0,0
M,African_American,40,Male,8,-1.0,1
M,African_American,22,Male,4,-12.0,0
M,African_American,21,Male,0,-1.0,0
F,Caucasian,41,Female,3,-1.0,0
F,African_American,37,Male,8,-1.0,0
M,Caucasian,53,Female,0,-1.0,0
F,African_American,22,Male,1,-4.0,0
F,African_American,22,Female,1,-1.0,1
M,Caucasian,27,Male,4,-1.0,1
M,African_American,28,Male,5,-1.0,1
F,African_American,23,Female,0,-1.0,1
M,Caucasian,54,Female,1,-22.0,0
F,Caucasian,63,Male,10,0.0,1
F,African_American,31,Male,0,-1.0,0
F,African_American,49,Male,0,-4.0,0
M,Caucasian,26,Female,3,-1.0,0
F,Caucasian,31,Male,1,-1.0,1
M,Caucasian,34,Male,0,-1.0,0
F,African_American,22,Female,0,0.0,0
M,African_American,38,Male,16,28.0,1
F,African_American,22,Male,0,-1.0,0
F,African_American,22,Male,0,-1.0,1
F,Caucasian,30,Male,3,-1.0,1
M,Caucasian,57,Male,0,0.0,0
F,Other,33,Male,2,0.0,1
M,African_American,21,Female,0,0.0,0
F,African_American,23,Female,3,0.0,1
F,African_American,35,Male,1,-1.0,0
F,Caucasian,30,Male,22,-1.0,1
F,African_American,29,Male,2,-1.0,1
F,African_American,29,Male,3,-1.0,1
F,Caucasian,26,Male,0,0.0,0
M,Hispanic,47,Male,0,0.0,0
F,African_American,21,Male,0,-5.0,1
M,African_American,40,Male,8,0.0,1
F,African_American,21,Male,0,0.0,0
F,Caucasian,36,Female,3,0.0,0
M,African_American,35,Male,1,-1.0,0
M,Caucasian,64,Female,0,-1.0,0
M,Caucasian,59,Male,0,-1.0,0
F,African_American,41,Male,0,-1.0,0
F,Caucasian,23,Male,0,0.0,0
F,Caucasian,46,Male,0,-1.0,0
M,African_American,32,Female,0,-1.0,0
M,African_American,43,Male,0,-1.0,0
F,Hispanic,37,Male,6,-24.0,1
M,Caucasian,25,Male,0,-2.0,0
F,Caucasian,51,Male,3,-13.0,1
F,African_American,34,Male,10,-1.0,1
F,African_American,24,Male,3,0.0,0
F,African_American,39,Male,0,-1.0,0
F,Other,48,Male,12,0.0,0
F,African_American,26,Male,1,-1.0,1
F,Caucasian,40,Male,0,-1.0,0
F,Other,49,Male,7,-1.0,1
F,African_American,27,Female,4,-1.0,1
F,Caucasian,53,Female,4,-1.0,1
M,African_American,55,Male,10,-1.0,1
M,Caucasian,70,Male,0,-1.0,0
M,Caucasian,38,Female,1,-1.0,1
M,African_American,31,Male,7,-1.0,0
F,African_American,22,Male,0,-1.0,1
M,Caucasian,23,Male,1,-1.0,0
F,African_American,32,Male,1,-1.0,0
M,African_American,20,Female,0,-1.0,0
F,African_American,29,Female,0,-1.0,0
M,African_American,20,Male,0,-1.0,1
M,African_American,22,Male,0,-1.0,1
F,African_American,22,Male,2,-1.0,0
F,African_American,31,Male,4,-1.0,1
M,African_American,51,Male,7,-1.0,1
F,Caucasian,50,Male,1,-1.0,0
F,Caucasian,25,Male,0,0.0,0
M,African_American,62,Male,3,-1.0,1
F,African_American,22,Male,2,-1.0,1
F,Caucasian,29,Male,3,-1.0,1
M,African_American,36,Female,1,0.0,0
F,African_American,35,Female,4,-1.0,0
F,Hispanic,35,Male,3,-23.0,1
M,African_American,27,Male,1,-1.0,0
